Washington, Eugene V Debs, Progressive, 1267
Webb, James M Cox, Democrat, 633
Wharton, Warren G Harding, Republican, 852
Wheeler, James M Cox, Democrat, 516
Wichita, James M Cox, Democrat, 3812
Wilbarger, James M Cox, Democrat, 1118
Willacy, James M Cox, Democrat, 53
Williamson, James M Cox, Democrat, 2677
Wilson, Warren G Harding, Republican, 820
Winkler, James M Cox, Democrat, 17
Wise, James M Cox, Democrat, 2031
Wood, James M Cox, Democrat, 1643
Yoakum, James M Cox, Democrat, 79
Young, James M Cox, Democrat, 1214
Zapata, Warren G Harding, Republican, 98
Zavala, James M Cox, Democrat, 264
