#, John W Davis, Democrat, 0
Val Verde, Calvin Coolidge, Republican, 457
Van Zandt, John W Davis, Democrat, 3957
Victoria, John W Davis, Democrat, 1653
Walker, John W Davis, Democrat, 1792
Waller, John W Davis, Democrat, 1239
Ward, John W Davis, Democrat, 206
Washington, John W Davis, Democrat, 3568
Webb, John W Davis, Democrat, 1313
Wharton, John W Davis, Democrat, 2020
Wheeler, John W Davis, Democrat, 908
Wichita, John W Davis, Democrat, 5831
Wilbarger, John W Davis, Democrat, 1222
Willacy, John W Davis, Democrat, 307
Williamson, John W Davis, Democrat, 6324
Wilson, John W Davis, Democrat, 1633
Winkler, John W Davis, Democrat, 15
Wise, John W Davis, Democrat, 2958
Wood, John W Davis, Democrat, 2806
Yoakum, John W Davis, Democrat, 95
Young, John W Davis, Democrat, 2000
Zapata, John W Davis, Democrat, 300
Zavala, John W Davis, Democrat, 326
