Nolan, Joseph R Biden Jr, Democrat, 21.69
Nueces, Joseph R Biden Jr, Democrat, 47.85
Ochiltree, Joseph R Biden Jr, Democrat, 9.57
Oldham, Joseph R Biden Jr, Democrat, 8.03
Orange, Joseph R Biden Jr, Democrat, 17.66
Palo Pinto, Joseph R Biden Jr, Democrat, 17.44
Panola, Joseph R Biden Jr, Democrat, 17.96
Parker, Joseph R Biden Jr, Democrat, 17.1
Parmer, Joseph R Biden Jr, Democrat, 18.42
Pecos, Joseph R Biden Jr, Democrat, 29.61
Polk, Joseph R Biden Jr, Democrat, 22.27
Potter, Joseph R Biden Jr, Democrat, 29.76
Presidio, Joseph R Biden Jr, Democrat, 65.99
Rains, Joseph R Biden Jr, Democrat, 13.91
Randall, Joseph R Biden Jr, Democrat, 19.79
Reagan, Joseph R Biden Jr, Democrat, 15.3
Real, Joseph R Biden Jr, Democrat, 16.15
Red River, Joseph R Biden Jr, Democrat, 21.46
Reeves, Joseph R Biden Jr, Democrat, 37.82
Refugio, Joseph R Biden Jr, Democrat, 32.92
Roberts, Joseph R Biden Jr, Democrat, 3.09
Robertson, Joseph R Biden Jr, Democrat, 29.31
Rockwall, Joseph R Biden Jr, Democrat, 30.45
Runnels, Joseph R Biden Jr, Democrat, 12.52
Rusk, Joseph R Biden Jr, Democrat, 21.65
Sabine, Joseph R Biden Jr, Democrat, 12.18
San Augustine, Joseph R Biden Jr, Democrat, 24.49
San Jacinto, Joseph R Biden Jr, Democrat, 18.49
San Patricio, Joseph R Biden Jr, Democrat, 34.71
San Saba, Joseph R Biden Jr, Democrat, 11.03
Schleicher, Joseph R Biden Jr, Democrat, 18.21
Scurry, Joseph R Biden Jr, Democrat, 13.94
Shackelford, Joseph R Biden Jr, Democrat, 7.99
Shelby, Joseph R Biden Jr, Democrat, 20.5
Sherman, Joseph R Biden Jr, Democrat, 9.17
Smith, Joseph R Biden Jr, Democrat, 29.59
Somervell, Joseph R Biden Jr, Democrat, 15.52
Starr, Joseph R Biden Jr, Democrat, 52.06
Stephens, Joseph R Biden Jr, Democrat, 10.45
Sterling, Joseph R Biden Jr, Democrat, 7.98
Stonewall, Joseph R Biden Jr, Democrat, 15.76
Sutton, Joseph R Biden Jr, Democrat, 20.68
Swisher, Joseph R Biden Jr, Democrat, 20.3
Tarrant, Joseph R Biden Jr, Democrat, 49.31
Taylor, Joseph R Biden Jr, Democrat, 26.46
Terrell, Joseph R Biden Jr, Democrat, 25.98
